prompt,category,subcategory,style,noise,params,top_category
Evaluate based on the customer's past purchase interactions across 5 tickets.,UNSUPPORTED,unsupported,instruction,medium,,UNSUPPORTED
"Check the follow-up for any sign the agent listened (e.g., summarizes issue) then provides next steps.",SEMANTIC_EMPATHY,llm_generated,instruction,medium,,SEMANTIC
Detect whether the agent began the follow-up with an appropriate self-identification and recognition of the customer’s defect complaint.,SEMANTIC_GREETING,llm_generated,instruction,none,,SEMANTIC
"Did agent ack the defect complaint at the beginning, then explain next step?",SEMANTIC_GREETING,llm_generated,question,none,,SEMANTIC
Check if a long wait (10+ minutes) was compensated by extra care.,HYBRID,hybrid,instruction,none,,HYBRID
"If the customer already tried basic steps, did the agent avoid repeating them?",SEMANTIC_SOLUTION,llm_generated,question,none,,SEMANTIC
"Verify the agent included alternatives to cancellation and a final support offer, with a clear finish.",SEMANTIC_CLOSING,llm_generated,instruction,none,,SEMANTIC
Did the customer get an answer before 25 hours elapsed?,SYMBOLIC_TIME,time_moderate,question,none,"{""threshold"": 25, ""unit"": ""hours""}",SYMBOLIC_TIME
"On email, did the agent follow the expected etiquette?",HYBRID,hybrid,question,none,,HYBRID
Evaluate whether the exchange was concise.,SYMBOLIC_COUNT,count_implicit,instruction,none,"{""threshold"": 18}",SYMBOLIC_COUNT
"Verify the agent’s recap matches what customer asked: account locked, wants escalation.",SEMANTIC_COMPREHENSION,llm_generated,instruction,light,,SEMANTIC
Were there fewer than 13 messages?,SYMBOLIC_COUNT,count_explicit,question,none,"{""threshold"": 13}",SYMBOLIC_COUNT
What is the probability the customer will cancel?,UNSUPPORTED,unsupported,question,none,,UNSUPPORTED
"Detect whether, in this follow-up, the agent accurately summarized what the customer is reporting (defect, symptoms, timing) and then conditionally outlined next steps; flag if summary drifts, has wrong assumptions, or contradicts the customer.",SEMANTIC_COMPREHENSION,llm_generated,instruction,none,,SEMANTIC
Did the agent end the chat appropriately and offer more help?,SEMANTIC_CLOSING,llm_generated,question,medium,,SEMANTIC
Assess chat-appropriate communication style.,HYBRID,hybrid,instruction,none,,HYBRID
"Did the agent correctly echo the customer’s question about why shipping is taking longer, right after hello?",SEMANTIC_COMPREHENSION,llm_generated,question,light,,SEMANTIC
Note interactions requiring more than 7 turns.,SYMBOLIC_COUNT,count_moderate,instruction,none,"{""threshold"": 7}",SYMBOLIC_COUNT
Did the agent need more than 30 attempts to address this?,SYMBOLIC_COUNT,count_moderate,question,heavy,"{""threshold"": 30}",SYMBOLIC_COUNT
"Did thw agen begin by acknowledgong the reported putage qbs the custoner's request to escqlatr, with a clear self-odentificstiin?",SEMANTIC_GREETING,llm_generated,question,heavy,,SEMANTIC
"Detect if agent treated customer like they forgot password, even after lock mention.",SEMANTIC_COMPREHENSION,llm_generated,instruction,none,,SEMANTIC
Was the time to first response shorter than 19 hrs?,SYMBOLIC_TIME,time_moderate,question,light,"{""threshold"": 19, ""unit"": ""hrs""}",SYMBOLIC_TIME
Did agent wrap things up properly?,SEMANTIC_CLOSING,llm_generated,question,none,,SEMANTIC
Did the thread contain at least 50 messages?,SYMBOLIC_COUNT,count_explicit,question,none,"{""threshold"": 50}",SYMBOLIC_COUNT
Assess whether the customer is likely to downgrade after this exchange.,UNSUPPORTED,unsupported,instruction,light,,UNSUPPORTED
did the agent mention the customer’s frustration and outline what happens next?,SEMANTIC_EMPATHY,llm_generated,question,light,,SEMANTIC
Did the reply come promptly?,SYMBOLIC_TIME,time_implicit,question,light,"{""threshold"": 3, ""unit"": ""sec""}",SYMBOLIC_TIME
Assess first-reply promptness.,SYMBOLIC_TIME,time_implicit,instruction,heavy,"{""threshold"": 22, ""unit"": ""min""}",SYMBOLIC_TIME
Detect whether greeting included understanding check on delayed shipment.,SEMANTIC_SOLUTION,llm_generated,instruction,none,,SEMANTIC
"Determine whether the customer’s service reliability over the past 90 days meets the company’s uptime target, and whether this conversation aligns with that broader reliability trend compared to other customers in the same area.",UNSUPPORTED,llm_generated,instruction,none,,UNSUPPORTED
"Did agent acknowledge frustration, then confirm what outcome customer wants (rebook, info, refund)?",SEMANTIC_COMPREHENSION,llm_generated,question,none,,SEMANTIC
Detect quality degradation in conversations exceeding 20 turns.,HYBRID,hybrid,instruction,none,,HYBRID
Was the handling efficient?,SYMBOLIC_COUNT,count_implicit,question,none,"{""threshold"": 2}",SYMBOLIC_COUNT
Did the customer request a callback after this conversation ended?,UNSUPPORTED,unsupported,question,light,,UNSUPPORTED
"Did the rep at greeting confirm they understood the delayed shipment and then provide targeted guidance (what info needed, what they’ll check, timelines), not just a canned apology?",SEMANTIC_SOLUTION,llm_generated,question,none,,SEMANTIC
"If photos/video were mentioned, did agent explain exactly how to submit them and what will happen after review?",SEMANTIC_SOLUTION,llm_generated,question,none,,SEMANTIC
Did the agent begin with name + company and acknowledge customer reaching out?,SEMANTIC_GREETING,llm_generated,question,light,,SEMANTIC
Check if a long wait (15+ minutes) was compensated by extra care.,HYBRID,hybrid,instruction,none,,HYBRID
Watch for reply times over 3 hrs.,SYMBOLIC_TIME,time_moderate,instruction,none,"{""threshold"": 3, ""unit"": ""hrs""}",SYMBOLIC_TIME
"Determine whether the promised workaround actually reduced errors over the next month for this account, based on subsequent product usage and any additional reports the customer submitted.",UNSUPPORTED,llm_generated,instruction,light,,UNSUPPORTED
Is this interaction likely to lead to a billing within 90 days?,UNSUPPORTED,unsupported,question,none,,UNSUPPORTED
"Check if agent asked for relevant details (date, route) after customer reported delay, not unrelated info.",SEMANTIC_COMPREHENSION,llm_generated,instruction,light,,SEMANTIC
Did teh total number of messages go above 5?,SYMBOLIC_COUNT,count_explicit,question,light,"{""threshold"": 5}",SYMBOLIC_COUNT
"When internal notes were added but the agent did not summarize them to the customer, did the closing still provide sufficient guidance and follow-up?",HYBRID,llm_generated,question,medium,,HYBRID
Was the conversation concise?,SYMBOLIC_COUNT,count_implicit,question,none,"{""threshold"": 6}",SYMBOLIC_COUNT
"When the wait exceeded 60 minutes, did the agent address it?",HYBRID,hybrid,question,none,,HYBRID
Validate that the agent responded inside 19 seconds.,SYMBOLIC_TIME,time_explicit,instruction,light,"{""threshold"": 19, ""unit"": ""seconds""}",SYMBOLIC_TIME
Catalog threads over 4 exchanges long.,SYMBOLIC_COUNT,count_moderate,instruction,light,"{""threshold"": 4}",SYMBOLIC_COUNT
Was there an unreasonable delay before the first response,SYMBOLIC_TIME,time_implicit,question,light,"{""threshold"": 60, ""unit"": ""min""}",SYMBOLIC_TIME
Did the rep start by apologizing for the billing mistake during greeting?,SEMANTIC_EMPATHY,llm_generated,question,none,,SEMANTIC
Was the total interaction under 8 back-and-forths?,SYMBOLIC_COUNT,count_moderate,question,light,"{""threshold"": 8}",SYMBOLIC_COUNT
Was the agent’s greeting too casual for a shipping delay situation?,SEMANTIC_TONE,llm_generated,question,heavy,,SEMANTIC
Flag tardy agent replies.,SYMBOLIC_TIME,time_implicit,instruction,light,"{""threshold"": 17, ""unit"": ""hrs""}",SYMBOLIC_TIME
Evaluate both response speed (20 minute threshold) and helpfulness.,HYBRID,hybrid,instruction,none,,HYBRID
Detect whether the agent validated the customer’s situation before giving next steps.,SEMANTIC_EMPATHY,llm_generated,instruction,none,,SEMANTIC
Track if the turnaround time surpassed 5 seconds.,SYMBOLIC_TIME,time_moderate,instruction,none,"{""threshold"": 5, ""unit"": ""seconds""}",SYMBOLIC_TIME
Confirm 'pending' is present.,SYMBOLIC_METADATA,meta_tag,instruction,light,"{""subtype"": ""tag"", ""value"": ""pending""}",SYMBOLIC_METADATA
Flag 'sensitive' tickets where urgency was not matched by quality.,HYBRID,hybrid,instruction,medium,,HYBRID
Inspect the thread for more than 7 exchanges.,SYMBOLIC_COUNT,count_explicit,instruction,none,"{""threshold"": 7}",SYMBOLIC_COUNT
Detect whether the agent both verified understanding and ended the conversation appropriately (absolute yes/no).,SEMANTIC_CLOSING,llm_generated,instruction,none,,SEMANTIC
"Verify agent responded to the customer’s actual defect description, not a different issue.",SEMANTIC_COMPREHENSION,llm_generated,instruction,none,,SEMANTIC
Compare this agent's handling against the customer's trend in partner portal.,UNSUPPORTED,unsupported,instruction,none,,UNSUPPORTED
Estimate the probability that this customer will cancel within month.,UNSUPPORTED,unsupported,instruction,none,,UNSUPPORTED
Was 2 messages enough or did it go longer?,SYMBOLIC_COUNT,count_moderate,question,none,"{""threshold"": 2}",SYMBOLIC_COUNT
"For responses taking over 60 minutes, was there an apology?",HYBRID,hybrid,question,none,,HYBRID
What satisfaction score was given for this escalation ticket?,UNSUPPORTED,unsupported,question,none,,UNSUPPORTED
Verify the customer's payment method in Stripe.,UNSUPPORTED,unsupported,instruction,medium,,UNSUPPORTED
"Determine if agent used conditional phrasing properly (e.g., if email not accessible, then do X).",SEMANTIC_SOLUTION,llm_generated,instruction,none,,SEMANTIC
Did the agent correctly identify the customer was asking for a refund during initial troubleshooting?,SEMANTIC_COMPREHENSION,llm_generated,question,none,,SEMANTIC
Did agent take ownership of breach comms and tell customer exactly what changes to make?,SEMANTIC_SOLUTION,llm_generated,question,light,,SEMANTIC
"Detect whether agent finalized the interaction after initial troubleshooting, offering next steps and help if needed.",SEMANTIC_CLOSING,llm_generated,instruction,none,,SEMANTIC
"If first response time exceeded 10 minutes on an urgent upgrade request, assess whether the greeting included a tactful acknowledgment of the delay.",HYBRID,llm_generated,instruction,none,,HYBRID
Ascertain whether 12 minutes was exceeded.,SYMBOLIC_TIME,time_explicit,instruction,none,"{""threshold"": 12, ""unit"": ""minutes""}",SYMBOLIC_TIME
Is the 'retention' tag present on this ticket?,SYMBOLIC_METADATA,meta_tag,question,heavy,"{""subtype"": ""tag"", ""value"": ""retention""}",SYMBOLIC_METADATA
Agent greeting: verify they repeated the problem (shipping delay) back to customer.,SEMANTIC_EMPATHY,llm_generated,instruction,none,,SEMANTIC
Identify if source was whatsapp.,SYMBOLIC_METADATA,meta_channel,instruction,light,"{""subtype"": ""channel"", ""value"": ""whatsapp""}",SYMBOLIC_METADATA
"If tagged 'sensitive' and over 45 turns, was urgency maintained?",HYBRID,hybrid,question,light,,HYBRID
Did the agent resolve it efficiently?,SYMBOLIC_COUNT,count_implicit,question,none,"{""threshold"": 2}",SYMBOLIC_COUNT
Check whether alternatives were tied to customer’s reason for cancelling (not generic).,SEMANTIC_EMPATHY,llm_generated,instruction,light,,SEMANTIC
Pull the customer's loyalty points from the app before evaluating.,UNSUPPORTED,unsupported,instruction,none,,UNSUPPORTED
Cross-reference this return issue with Shopify data.,UNSUPPORTED,unsupported,instruction,medium,,UNSUPPORTED
Was the conversation longer than 7 exchanges?,SYMBOLIC_COUNT,count_explicit,question,none,"{""threshold"": 7}",SYMBOLIC_COUNT
"When the wait between messages was greater than 7 minutes at least twice, did the agent offer compassionate reassurance during cancellation?",HYBRID,llm_generated,question,light,,HYBRID
Measure if the total messages crossed 13.,SYMBOLIC_COUNT,count_explicit,instruction,heavy,"{""threshold"": 13}",SYMBOLIC_COUNT
"Detect whether the agent suggested steps the customer can take now (gate info, app refresh, rebook channels) during the delay.",SEMANTIC_SOLUTION,llm_generated,instruction,none,,SEMANTIC
Were 13 or more turns required to address this?,SYMBOLIC_COUNT,count_explicit,question,none,"{""threshold"": 13}",SYMBOLIC_COUNT
Was rhis a quick resolution?,SYMBOLIC_COUNT,count_implicit,question,heavy,"{""threshold"": 7}",SYMBOLIC_COUNT
"If user said 'this is ridiculous' about the password issue, did agent acknowledge that feeling before delivering the resolution?",SEMANTIC_TONE,llm_generated,question,none,,SEMANTIC
"If this came via twitter, was the communication style suitable?",HYBRID,hybrid,question,none,,HYBRID
Detect whether the agent missed any customer cues while discussing escalation on account locked case.,SEMANTIC_TONE,llm_generated,instruction,light,,SEMANTIC
Did the customer renew after this conversation ended?,UNSUPPORTED,unsupported,question,none,,UNSUPPORTED
Detect if agent summarized customer’s main concern then delivered resolution tailored to it.,SEMANTIC_EMPATHY,llm_generated,instruction,medium,,SEMANTIC
Detect quality degradation in conversations exceeding 15 turns.,HYBRID,hybrid,instruction,none,,HYBRID
"For cases with internal notes present, evaluate whether the agent’s closing acknowledged the customer’s effort and offered continued help.",HYBRID,llm_generated,instruction,light,,HYBRID
Was the delay between customer message and agent reply under 25 sec?,SYMBOLIC_TIME,time_moderate,question,none,"{""threshold"": 25, ""unit"": ""sec""}",SYMBOLIC_TIME
Check if more than 14 turns occurred.,SYMBOLIC_COUNT,count_explicit,instruction,heavy,"{""threshold"": 14}",SYMBOLIC_COUNT
